gene,rna_log2fc,rna_fdr,atac_log2fc,atac_fdr,sig_rna,sig_atac,sig_both
Acp2,0.33308556511313625,0.025580345562297897,-0.38379716965834,0.999987547004426,True,False,False
Rapsn,0.4296422934869307,0.6888373876376747,-0.189169356058391,0.999987547004426,False,False,False
Slc39a13,0.28893839681975236,0.15226381244252402,-0.381335757886116,0.999987547004426,False,False,False
Ddb2,-0.02246216078675885,0.9322673496091408,-0.224702234072658,0.999987547004426,False,False,False
Spi1,0.1526501551274788,0.1937099653638228,-0.477456047143515,0.999987547004426,False,False,False
Stat6,0.2752356621673126,0.02544717414961089,-0.21170330329752,0.999987547004426,True,False,False
Napsa,-0.23508097167758477,0.05391274691759032,0.184277793054485,0.999987547004426,False,False,False
Vrk3,-0.09730370811709302,0.61975245866575,-0.581604148452085,0.999987547004426,False,False,False
Smg9,-0.09017036669397309,0.7457508315129342,0.275178527283905,0.999987547004426,False,False,False
Paxip1,0.10399647912207755,0.6881275576760655,-0.0732118987821462,0.999987547004426,False,False,False
Rmnd5a,-0.2624575367777979,0.11773452839075718,-0.0940759041164192,0.999987547004426,False,False,False
Mov10,0.27003739376006874,0.24158755156613743,0.600453725023642,0.999987547004426,False,False,False
Rhoc,1.4511070481053117,0.0008802700990439611,-0.309162984469985,0.999987547004426,True,False,False
Ppard,0.11859603685381062,0.8780743788686124,-0.196268191842252,0.999987547004426,False,False,False
Def6,-0.0723772097164222,0.7730668213409589,-0.175895630223982,0.999987547004426,False,False,False
Metrn,0.7466694021997168,0.0004301377186012386,-0.247098368800007,0.999987547004426,True,False,False
Lmf1,0.22529639729051296,0.3179024321737746,-0.639867780750474,0.999987547004426,False,False,False
Ciao3,0.1496645240207146,0.4264821290162286,-0.0255854885595248,0.999987547004426,False,False,False
Angptl4,0.6891032715349542,0.0761095991836681,-0.704357551890956,0.999987547004426,False,False,False
Dbf4,-0.1314891811104657,0.5523262054146649,-0.270933395073491,0.999987547004426,False,False,False
Daxx,0.13141239478807504,0.525984928062011,-0.428878922243073,0.999987547004426,False,False,False
Cd320,0.16528003148021733,0.6560926904920512,-0.238945451133603,0.999987547004426,False,False,False
Ipo4,0.5092717830004883,0.057951851123780436,-0.0069469338086944,0.999987547004426,False,False,False
Rec8,0.697352434031331,0.3513926919386365,-0.842457129860784,0.999987547004426,False,False,False
Irf9,-0.029617622768180175,0.8757729998206848,-0.0224332993708902,0.999987547004426,False,False,False
Mdp1,-0.05753209348600934,0.735015625756383,-0.0443123824147609,0.999987547004426,False,False,False
Dhrs1,0.3986982983028378,0.0018947568626016687,-0.51366117013136,0.999987547004426,True,False,False
Ncan,-0.36976186213753887,0.4809782373499616,0.06695475611407,0.999987547004426,False,False,False
Tmem161a,-0.07127923459690731,0.7931164165307376,-0.474164742936928,0.999987547004426,False,False,False
Armc6,-0.2208466102675603,0.564243727022649,-0.219827580045683,0.999987547004426,False,False,False
Slc25a42,-0.019587784684740758,0.975952345985918,-0.267952034995417,0.999987547004426,False,False,False
Snx9,-0.35687577447805247,0.00927329540231122,0.0455622902937964,0.999987547004426,True,False,False
Ranbp3,0.05580244666262452,0.7836857267426761,-0.243281595287386,0.999987547004426,False,False,False
Ndufa11,0.24057238727538144,0.08325772160197704,-0.163915572320297,0.999987547004426,False,False,False
Nr2f6,0.7438739539249694,1.72513158443252e-05,-0.517224450971182,0.999987547004426,True,False,False
Use1,0.05102969483128848,0.7768066252192696,-0.393685562693094,0.999987547004426,False,False,False
Ocel1,0.0754870298495908,0.7843056678010846,-0.0417193598484022,0.999987547004426,False,False,False
Dyrk1b,0.3615674895317824,0.25601807532910603,-0.418134234747751,0.999987547004426,False,False,False
Braf,0.13885864646477014,0.6301062288564775,0.1290835667193,0.999987547004426,False,False,False
Ndufb2,0.16587861377222368,0.41896890779131823,-0.181772065415474,0.999987547004426,False,False,False
Hltf,-0.10099239554929686,0.5774940056973609,0.190660191338685,0.999987547004426,False,False,False
Rgs19,-0.03498965508294527,0.8510071497288432,-0.408985697602649,0.999987547004426,False,False,False
Snrpd1,-0.030575033432459126,0.882816928624448,0.0490303933386214,0.999987547004426,False,False,False
Tchp,-0.25703998195492167,0.43609632821246036,-0.38674541306143,0.999987547004426,False,False,False
Tiam1,1.062864285535649,0.0002239655870901032,-1.00758468660452,0.999987547004426,True,False,False
Tsc2,0.12184499029292813,0.6669986107142242,-0.67160119680274,0.999987547004426,False,False,False
Puf60,-0.0009952270102193623,0.9959305395465365,-0.334098213002937,0.999987547004426,False,False,False
Uck1,-0.02273785757888263,0.9260815477416555,-0.087805640779103,0.999987547004426,False,False,False
Scin,0.16940627571934458,0.6388657250805742,0.945076181892919,0.999987547004426,False,False,False
Mien1,0.08686749658914954,0.6398740839997363,-0.404441298500975,0.999987547004426,False,False,False
Axl,0.6880556240566978,0.007426142101306592,-1.09637389253304,0.999987547004426,True,False,False
Tgfb1,0.5914057148443271,3.755620913537954e-06,-0.342045094016902,0.999987547004426,True,False,False
Ccdc97,0.04768458585505966,0.8353566546105136,-0.188125315115208,0.999987547004426,False,False,False
Zfp40,-0.12771587426847353,0.8239613255299688,0.495660341941005,0.999987547004426,False,False,False
Akap8l,-0.1253151730544637,0.40763631218695817,-0.357480333416909,0.999987547004426,False,False,False
Pdcd2l,-0.023685626491958482,0.916958213383026,0.256471513142102,0.999987547004426,False,False,False
Alkbh7,0.3163150475403035,0.1305448210861342,-0.076889617879198,0.999987547004426,False,False,False
Med6,0.03934772842426869,0.8812730025215434,-0.0660762346878698,0.999987547004426,False,False,False
Lcp2,-0.10850209609938986,0.4790492962659604,0.321127421101255,0.999987547004426,False,False,False
Cse1l,0.1647548459900196,0.3876143068806583,-0.819960318942186,0.999987547004426,False,False,False
Prkra,0.39607813898865596,0.011370432617049647,-0.624385646595112,0.999987547004426,True,False,False
Fkbp7,0.6298794767114696,0.0814542811160211,-0.222402068637568,0.999987547004426,False,False,False
Plekha3,0.4294449179691675,0.0006446285245597456,0.0302921213847362,0.999987547004426,True,False,False
Ykt6,0.061925119246742995,0.7815926266150444,0.34270214292575,0.999987547004426,False,False,False
Baz1b,-0.26915220708090487,0.05941391493369967,0.0241112680854227,0.999987547004426,False,False,False
